재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	entity00148540_udf_IS_2021317164541718_IncomeStatementAbstract	영업수익	109,117,088,000	109,117,088,000	107,052,780,000	107,052,780,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	25,711,228,000	25,711,228,000	18,785,832,000	18,785,832,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	83,405,860,000	83,405,860,000	88,266,948,000	88,266,948,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost	기타순손익	78,940,000	78,940,000	11,736,000	11,736,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	1,533,639,000	1,533,639,000	428,947,000	428,947,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	금융비용	3,052,253,000	3,052,253,000	1,446,052,000	1,446,052,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	81,966,186,000	81,966,186,000	87,261,579,000	87,261,579,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	1,882,278,000	1,882,278,000	2,058,690,000	2,058,690,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	당기순이익	80,083,908,000	80,083,908,000	85,202,889,000	85,202,889,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주주당순이익	1,978	1,978	2,540	2,540		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-03-31	1분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주희석주당순이익	1,978	1,978	2,540	2,540		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	ifrs-full_Revenue	매출액	1,910,029,408,590	1,910,029,408,590	1,915,024,813,423	1,915,024,813,423		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	ifrs-full_CostOfSales	매출원가	1,700,261,441,448	1,700,261,441,448	1,744,734,882,705	1,744,734,882,705		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	ifrs-full_GrossProfit	매출총이익	209,767,967,142	209,767,967,142	170,289,930,718	170,289,930,718		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	145,385,243,827	145,385,243,827	122,604,390,420	122,604,390,420		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	64,382,723,315	64,382,723,315	47,685,540,298	47,685,540,298		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	57,772,462,621	57,772,462,621	49,980,148,390	49,980,148,390		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	금융원가	40,870,551,866	40,870,551,866	21,785,406,114	21,785,406,114		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	dart_OtherGains	기타수익	393,751,303	393,751,303	1,247,870,063	1,247,870,063		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	dart_OtherLosses	기타비용	4,650,640,322	4,650,640,322	8,931,186,014	8,931,186,014		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	77,027,745,051	77,027,745,051	68,196,966,623	68,196,966,623		
