재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월	당기 반기 누적	전기 반기 3개월	전기 반기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	ifrs-full_Revenue	매출액	278,282,267,540	576,449,684,661	435,741,782,862	830,766,625,587		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	ifrs-full_CostOfSales	매출원가	161,635,108,404	335,820,417,844	185,835,697,754	364,031,554,213		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	ifrs-full_GrossProfit	매출총이익	116,647,159,136	240,629,266,817	249,906,085,108	466,735,071,374		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	36,995,712,375	78,059,631,403	36,747,615,994	72,067,750,115		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	79,651,446,761	162,569,635,414	213,158,469,114	394,667,321,259		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	금융수익	10,337,809,276	24,966,360,259	4,117,512,766	7,280,594,204		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	금융비용	1,058,570,565	5,303,869,019	4,030,757,082	5,761,211,278		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	dart_OtherGains	기타영업외수익	9,192,624,238	22,395,382,044	12,898,043,488	17,130,531,484		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	dart_OtherLosses	기타영업외비용	3,232,629,154	11,071,772,655	9,023,136,581	13,440,813,169		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	94,890,680,556	193,555,736,043	217,120,131,705	399,876,422,500		
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	19,919,078,782	40,505,666,678	58,217,062,404	104,196,363,534		
